algorithm,makespan,energy,cost,reliability,load_balance,bentuk_dag
GA,468.1099999999999,777294.8469376855,0.1065613888888888,0.803564036523595,35.84725498443855,dag_1018_n60_ccr0.1_p32_shape2
HEFT,499.73,878948.7096432073,0.0681919444444444,0.790283450320171,95.96767342097378,dag_1019_n60_ccr0.1_p32_shape4
GA,520.73,867350.072686421,0.0880547222222222,0.7849905495986728,46.42396190125172,dag_1019_n60_ccr0.1_p32_shape4
HEFT,221.99000000000004,69578.40299112574,0.0094708333333333,0.9779471981759046,96.19063381293076,dag_101_n10_ccr2_p4_shape0.8
GA,224.99000000000004,62817.018000800046,0.0110025,0.9778298515530616,63.11615244927405,dag_101_n10_ccr2_p4_shape0.8
HEFT,564.39,1894889.0014706145,0.0706788888888888,0.6498360361436865,84.87117279165962,dag_1020_n60_ccr0.1_p64_shape0.5
GA,551.35,1786900.7764577856,0.0968675,0.6552820010806001,34.93433499449984,dag_1020_n60_ccr0.1_p64_shape0.5
HEFT,436.36,1482902.106242552,0.0678866666666666,0.7015521791173969,71.54311803933123,dag_1021_n60_ccr0.1_p64_shape0.8
GA,469.98,1533365.2633303544,0.07768,0.6866182624012076,36.31911599156469,dag_1021_n60_ccr0.1_p64_shape0.8
HEFT,509.56,1699696.7484692675,0.0559066666666666,0.6759909436475456,70.17980531451434,dag_1022_n60_ccr0.1_p64_shape1
GA,530.71,1718671.4785287632,0.0991277777777777,0.6669023803996793,32.4697260367834,dag_1022_n60_ccr0.1_p64_shape1
HEFT,558.7099999999999,1878154.657818904,0.0691719444444444,0.6501098047337271,84.73307721884764,dag_1023_n60_ccr0.1_p64_shape2
GA,596.5099999999999,1932997.818896582,0.1117766666666666,0.6345710627938241,38.225320791046,dag_1023_n60_ccr0.1_p64_shape2
HEFT,362.94,1239937.018184824,0.0586983333333333,0.741673915047433,61.945190628202006,dag_1024_n60_ccr0.1_p64_shape4
GA,395.2399999999999,1294877.7367169317,0.0755786111111111,0.726499415873747,34.67228050785064,dag_1024_n60_ccr0.1_p64_shape4
HEFT,699.7600000000001,258611.0725105751,0.0705125,0.904185446223908,35.64346083084524,dag_1025_n60_ccr0.5_p4_shape0.5
GA,583.19,259033.75212195,0.0614666666666666,0.9084113266837812,36.14982664780931,dag_1025_n60_ccr0.5_p4_shape0.5
HEFT,687.79,238654.52148184768,0.0672922222222222,0.9103941876699624,48.77528224760296,dag_1026_n60_ccr0.5_p4_shape0.8
GA,556.7699999999999,235188.93961599944,0.0531811111111111,0.9151779058346594,20.664887087359904,dag_1026_n60_ccr0.5_p4_shape0.8
HEFT,768.9799999999999,270622.69507659494,0.0661366666666666,0.9000775074292974,101.3137802407286,dag_1027_n60_ccr0.5_p4_shape1
GA,732.3599999999999,266377.8449123382,0.0703447222222222,0.9013969070545524,59.335127875483664,dag_1027_n60_ccr0.5_p4_shape1
HEFT,886.2,266560.4476980366,0.0718158333333333,0.8996243425130592,78.9452170284348,dag_1028_n60_ccr0.5_p4_shape2
GA,679.3199999999999,253262.0371989637,0.0604019444444444,0.9070998016728012,90.64138251924444,dag_1028_n60_ccr0.5_p4_shape2
HEFT,696.1599999999999,260339.95851528383,0.0632622222222222,0.9041340899490946,63.29211219944127,dag_1029_n60_ccr0.5_p4_shape4
GA,608.42,258300.82528516484,0.0605652777777777,0.9073128137128688,6.234281567804486,dag_1029_n60_ccr0.5_p4_shape4
HEFT,172.48,56671.63358070501,0.0089944444444444,0.9803445377213866,63.342778593932856,dag_102_n10_ccr2_p4_shape1
GA,175.48,52406.81456576248,0.0102983333333333,0.9802269034350584,37.26216758769319,dag_102_n10_ccr2_p4_shape1
HEFT,598.4199999999998,335098.26255806955,0.0706361111111111,0.8833346129927415,130.6618170261359,dag_1030_n60_ccr0.5_p8_shape0.5
GA,604.8799999999999,326473.09704404173,0.0849775,0.8828782236059223,90.93934210701735,dag_1030_n60_ccr0.5_p8_shape0.5
